TransactionID,TxnDate,AccountNumber,AccountName,Debit,Credit,Amount,Dept,CostCenter,Description
TXN00878,2023-12-14 00:00:00.000000,2100.0,Accrued Expenses,24795,0,24795,IT,CC002,Accrued Expenses transaction
TXN04886,2022-10-27 00:00:00.000000,6200.0,Marketing Expense,21052,0,21052,Finance,CC004,Marketing Expense transaction
TXN02485,2023-07-22 00:00:00.000000,2000.0,Accounts Payable,0,8064,-8064,Sales,CC003,Accounts Payable transaction
TXN02289,2022-03-09 00:00:00.000000,5100.0,COGS - Labor,21512,0,21512,IT,CC005,COGS - Labor transaction
TXN00812,2023-06-17 00:00:00.000000,2500.0,Long-term Debt,0,27276,-27276,Finance,CC001,Long-term Debt transaction
TXN00249,2022-01-16 00:00:00.000000,6400.0,Travel Expense,4458,0,4458,Finance,CC005,Travel Expense transaction
TXN03299,2023-04-29 00:00:00.000000,1500.0,PP&E,0,2243,-2243,Admin,CC004,PP&E transaction
TXN00107,2022-05-30 00:00:00.000000,2000.0,Accounts Payable,0,45349,-45349,Operations,CC001,Accounts Payable transaction
TXN00280,2022-12-16 00:00:00.000000,6200.0,Marketing Expense,4972,0,4972,Sales,CC004,Marketing Expense transaction
TXN01282,2022-02-02 00:00:00.000000,6200.0,Marketing Expense,8759,0,8759,Operations,CC001,Marketing Expense transaction
TXN02823,2021-04-23 00:00:00.000000,1000.0,Cash,28788,0,28788,Finance,CC005,Cash transaction
TXN04160,2021-11-27 00:00:00.000000,4000.0,Revenue - Product Sales,0,49898,-49898,Sales,CC001,Revenue - Product Sales transaction
TXN05024,2023-07-09 00:00:00.000000,1100.0,Accounts Receivable,20948,0,20948,Sales,CC002,Accounts Receivable transaction
TXN03971,2021-01-13 00:00:00.000000,4000.0,Revenue - Product Sales,0,7814,-7814,Finance,CC001,Revenue - Product Sales transaction
TXN00334,2021-07-30 00:00:00.000000,6500.0,Depreciation,0,10695,-10695,Finance,CC002,Depreciation transaction
TXN03065,2022-07-30 00:00:00.000000,6200.0,Marketing Expense,17520,0,17520,IT,CC002,Marketing Expense transaction
TXN00502,2023-02-19 00:00:00.000000,6400.0,Travel Expense,29318,0,29318,IT,CC001,Travel Expense transaction
TXN02093,2022-05-08 00:00:00.000000,6500.0,Depreciation,0,21121,-21121,Finance,CC001,Depreciation transaction
TXN03254,2021-06-25 00:00:00.000000,4000.0,Revenue - Product Sales,0,7368,-7368,Operations,CC004,Revenue - Product Sales transaction
TXN01478,2022-09-09 00:00:00.000000,4100.0,Revenue - Service Sales,0,6548,-6548,Sales,CC003,Revenue - Service Sales transaction
TXN04450,2023-04-01 00:00:00.000000,1500.0,PP&E,35836,0,35836,Operations,CC004,PP&E transaction
TXN02548,2021-08-30 00:00:00.000000,6400.0,Travel Expense,10597,0,10597,IT,CC005,Travel Expense transaction
TXN02842,2022-11-18 00:00:00.000000,6100.0,Rent Expense,13958,0,13958,Sales,CC002,Rent Expense transaction
TXN01159,2021-08-01 00:00:00.000000,6000.0,Salaries Expense,18017,0,18017,Sales,CC001,Salaries Expense transaction
TXN04669,2022-01-29 00:00:00.000000,6000.0,Salaries Expense,27028,0,27028,Finance,CC005,Salaries Expense transaction
TXN00860,2022-05-05 00:00:00.000000,1200.0,Inventory,0,38757,-38757,Sales,CC003,Inventory transaction
TXN02687,2023-07-24 00:00:00.000000,4200.0,Revenue - Other,0,46703,-46703,Operations,CC001,Revenue - Other transaction
TXN04480,2021-05-03 00:00:00.000000,5000.0,COGS - Materials,3987,0,3987,Sales,CC004,COGS - Materials transaction
TXN03571,2021-04-09 00:00:00.000000,5100.0,COGS - Labor,18201,0,18201,Sales,CC003,COGS - Labor transaction
TXN01336,2021-12-20 00:00:00.000000,5000.0,COGS - Materials,4008,0,4008,Operations,CC003,COGS - Materials transaction
TXN03687,2023-11-30 00:00:00.000000,1200.0,Inventory,3659,0,3659,IT,CC002,Inventory transaction
TXN02446,2023-11-04 00:00:00.000000,6300.0,IT Expense,15083,0,15083,IT,CC005,IT Expense transaction
TXN02537,2023-03-07 00:00:00.000000,6100.0,Rent Expense,27631,0,27631,Admin,CC004,Rent Expense transaction
TXN02084,2023-08-02 00:00:00.000000,6200.0,Marketing Expense,18387,0,18387,IT,CC001,Marketing Expense transaction
TXN01808,2021-10-08 00:00:00.000000,6400.0,Travel Expense,23426,0,23426,Finance,CC005,Travel Expense transaction
